Sequence,Overlap,Failures,FPS,F2O,Frames
ball,0.54,1,66.11,22.45,602
basketball,0.64,4,50.09,11.74,725
bicycle,0.43,0,106.37,27.27,271
bolt,0.64,1,67.10,13.85,350
car,0.26,1,103.53,26.47,252
david,0.32,8,44.33,10.80,770
diving,0.41,5,40.47,9.59,219
drunk,0.27,34,22.66,5.62,1210
fernando,0.29,8,21.25,5.02,292
fish1,0.33,0,86.40,20.22,436
fish2,0.37,2,57.09,14.01,310
gymnastics,0.55,1,41.18,10.12,207
hand1,0.51,0,64.48,17.93,244
hand2,0.43,5,42.16,10.16,267
jogging,0.72,2,63.54,20.57,307
motocross,0.35,4,26.44,7.12,164
polarbear,0.51,0,63.67,14.48,371
skating,0.41,0,70.86,17.14,400
sphere,0.43,0,43.36,10.39,201
sunshade,0.65,0,76.24,20.23,172
surfing,0.69,0,92.57,24.58,282
torus,0.33,4,59.97,15.55,264
trellis,0.44,2,64.52,15.91,569
tunnel,0.33,3,71.99,17.51,731
woman,0.56,3,60.15,14.18,597
Average,0.46,3.52,60.26,15.32,408.52
